topic-id	AveragePrecision_10	AveragePrecision_20	NDCG_10	NDCG_20
1	0.0	0.06	0.0	0.03
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0
6	0.0	0.07	0.0	0.03
7	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0
10	0.21	0.19	0.1	0.1
11	0.0	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0
13	0.0	0.11	0.0	0.05
14	0.0	0.09	0.0	0.05
15	0.0	0.0	0.0	0.0
16	0.0	0.0	0.0	0.0
17	0.2	0.2	0.08	0.06
18	0.5	0.32	0.19	0.16
19	0.0	0.0	0.0	0.0
20	0.17	0.17	0.06	0.07
21	0.0	0.08	0.0	0.04
22	0.2	0.2	0.04	0.03
23	0.0	0.08	0.0	0.02
24	0.0	0.0	0.0	0.0
25	0.0	0.0	0.0	0.0
26	0.0	0.0	0.0	0.0
27	0.0	0.1	0.0	0.07
28	0.5	0.5	0.1	0.06
29	0.0	0.0	0.0	0.0
30	0.0	0.0	0.0	0.0
31	0.0	0.0	0.0	0.0
32	0.0	0.0	0.0	0.0
33	0.0	0.0	0.0	0.0
34	0.0	0.0	0.0	0.0
35	0.1	0.1	0.06	0.04
mean	0.053714285714285714	0.06485714285714286	0.018	0.02314285714285715
