topic-id	AveragePrecision_10	AveragePrecision_20	NDCG_10	NDCG_20
1	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0
6	0.0	0.08	0.0	0.03
7	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0
10	0.0	0.06	0.0	0.03
11	0.0	0.0	0.0	0.0
12	0.0	0.07	0.0	0.03
13	0.0	0.0	0.0	0.0
14	0.17	0.17	0.04	0.03
15	0.0	0.0	0.0	0.0
16	0.0	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0
18	0.14	0.14	0.03	0.02
19	0.0	0.0	0.0	0.0
20	0.5	0.5	0.19	0.13
21	0.0	0.08	0.0	0.04
22	0.0	0.0	0.0	0.0
23	0.5	0.3	0.19	0.16
24	0.0	0.0	0.0	0.0
25	0.0	0.0	0.0	0.0
26	0.0	0.0	0.0	0.0
27	0.0	0.0	0.0	0.0
28	0.0	0.08	0.0	0.03
29	0.0	0.0	0.0	0.0
30	0.0	0.0	0.0	0.0
31	0.0	0.0	0.0	0.0
32	0.0	0.0	0.0	0.0
33	0.0	0.0	0.0	0.0
34	0.0	0.0	0.0	0.0
35	0.0	0.0	0.0	0.0
mean	0.03742857142857143	0.042285714285714295	0.012857142857142857	0.014285714285714285
