q_id,cord_id
0,81t59up3
0,3r0nqzgu
0,qcu73sdu
0,0hyg403m
0,hxhohtmj
0,00weh5ta
0,17oiye59
0,u2bbgn8k
0,w3asioz9
0,wow01j26
0,xwmr7up9
0,k7rkmov7
0,q6tivb7h
0,mzv4zik0
0,5li3krok
0,cf39dhpo
0,1vo72gop
0,67he6jlx
0,v5r69jmq
0,rwxjlhid
0,8hy30y0z
0,nrdiqees
0,gqzelcxn
0,5xeergll
0,1abp6oom
0,k1retwa4
0,2dczotbh
0,6dvpqgf5
0,z1qbwplu
0,ffk0ifwy
0,w955lam3
0,667urmpq
0,es9zk553
0,2hlrw6oy
0,88yzopuj
0,5t8yuq4v
0,mk4znhd9
0,nmkilkcx
0,3xb4lumz
0,xl8b8xte
0,3jnszsrg
0,5yan9fcn
0,nzyp4p6s
0,6s8tmrcz
0,86stuueg
0,d3bvhhig
0,d53ntyb5
0,on97zu6w
0,us9n9724
0,5fq57ma3
1,kgvizb5n
1,81t59up3
1,qcu73sdu
1,3r0nqzgu
1,wjdmzmdg
1,3fnwosst
1,949kilgs
1,hxhohtmj
1,0hyg403m
1,k7rkmov7
1,00weh5ta
1,17oiye59
1,xkmarj73
1,eisfz30c
1,a7bhno7z
1,w3asioz9
1,wow01j26
1,xwmr7up9
1,q6tivb7h
1,mf0vh6iu
1,23308dev
1,mkz7z38o
1,js33q9lp
1,w5tc6gmu
1,f2wvh6la
1,mzv4zik0
1,d3bvhhig
1,5li3krok
1,cf39dhpo
1,1vo72gop
1,67he6jlx
1,6vl2kki0
1,v5r69jmq
1,6s8tmrcz
1,wfq2ka4s
1,667urmpq
1,rwxjlhid
1,tbx0ppu8
1,nrdiqees
1,gqzelcxn
1,34hcg3iv
1,owstxhjm
1,13cii3on
1,pfcidkgp
1,nhzamju7
1,on97zu6w
1,k1retwa4
1,oo8q6898
1,6dvpqgf5
1,v3zfs033
2,81t59up3
2,3r0nqzgu
2,qcu73sdu
2,hxhohtmj
2,00weh5ta
2,17oiye59
2,w3asioz9
2,wow01j26
2,xwmr7up9
2,k7rkmov7
2,q6tivb7h
2,v3zfs033
2,mzv4zik0
2,pfcidkgp
2,5li3krok
2,f2wvh6la
2,cf39dhpo
2,1vo72gop
2,67he6jlx
2,v5r69jmq
2,rwxjlhid
2,nrdiqees
2,gqzelcxn
2,icvrv3hs
2,8wmjvjtv
2,k1retwa4
2,puxz2f9g
2,6dvpqgf5
2,z1qbwplu
2,6j4uh5md
2,w955lam3
2,667urmpq
2,w1l8h8g8
2,bfnav9sn
2,es9zk553
2,5t8yuq4v
2,mk4znhd9
2,3xb4lumz
2,v6h1yro7
2,3vucm0s1
2,3jnszsrg
2,mnvievju
2,xn8hclt5
2,5yan9fcn
2,nzyp4p6s
2,68193u0a
2,msnhtzck
2,6s8tmrcz
2,wfegmnr5
2,86stuueg
3,81t59up3
3,3r0nqzgu
3,qcu73sdu
3,hxhohtmj
3,ss4b2ko9
3,k7rkmov7
3,f1br2h6p
3,00weh5ta
3,17oiye59
3,5li3krok
3,w3asioz9
3,wow01j26
3,xwmr7up9
3,tcl5lrjp
3,q6tivb7h
3,3x192cnt
3,f8i44vf0
3,mzv4zik0
3,s3p14wnd
3,5fq57ma3
3,cf39dhpo
3,34hcg3iv
3,5yan9fcn
3,mf0vh6iu
3,1vo72gop
3,67he6jlx
3,js33q9lp
3,v5r69jmq
3,rwxjlhid
3,a7bhno7z
3,rrwy3osd
3,gjnyfzmo
3,nrdiqees
3,gqzelcxn
3,iddn9onx
3,nuhrd92z
3,zl9xne5p
3,bq9yhujp
3,vt487ew7
3,k1retwa4
3,fb04slz0
3,h6id9mh8
3,bnv38la3
3,upse5uh2
3,tg8kfiot
3,sa4g4ybh
3,6dvpqgf5
3,l9c1x7tb
3,z1qbwplu
3,qk8wan88
4,uq4eobf0
4,60wcvkbn
4,949kilgs
4,hxhohtmj
4,0l10n9n7
4,wjdmzmdg
4,3fnwosst
4,w3asioz9
4,eisfz30c
4,xwmr7up9
4,lqdkywwa
4,jsjxdmi2
4,qz8pffei
4,5li3krok
4,glu5xlsd
4,b7p92sb1
4,w955lam3
4,nrdiqees
4,k7rkmov7
4,0hyg403m
4,mqrx003q
4,f1br2h6p
4,xndrlnav
4,ss4b2ko9
4,owstxhjm
4,7fbvzyq5
4,41i20yuy
4,2fpfvqdn
4,k1retwa4
4,s3p14wnd
4,feen4e8w
4,rj9oj9ky
4,8hy30y0z
4,u2bbgn8k
4,23308dev
4,36dhfptw
4,mf0vh6iu
4,icvrv3hs
4,tg8kfiot
4,wx46bpwm
4,z7r45291
4,7nwq4vxk
4,3xb4lumz
4,px0twvhs
4,s2kqg25x
4,dv9vcb5m
4,w5tc6gmu
4,7nf6akzb
4,us9n9724
4,13cii3on
5,81t59up3
5,qcu73sdu
5,3r0nqzgu
5,t3asnzje
5,0l10n9n7
5,wjdmzmdg
5,hxhohtmj
5,sq93cz2b
5,00weh5ta
5,17oiye59
5,dd5b8kmw
5,mzv4zik0
5,xkmarj73
5,n4xczdat
