q_id,cord_id
0,ej8fx52u
0,gioqkeda
0,adf5ttfd
0,b3vbaedz
0,myh73pe6
0,0p9o5lty
0,f89s8pgd
0,0xvfis28
0,o0e02chr
0,d0qr84xg
0,kfwbqp4p
0,mg02sml8
0,0jlsaypc
0,lw4mb9t3
0,lp7hd44l
0,ijdzinx8
0,e3t1f0rt
0,qbkkhfcb
0,pcs4jtmc
0,7hiss0j3
0,dmc8wjyl
0,hth8f5sn
0,i289urz8
0,ebx603bn
0,dq0xgavu
0,j58f1lwa
0,50slzxj0
0,jgvqqeg3
0,uwd1f2cl
0,q6kkefk4
0,jn8evem2
0,juz9jnfk
0,sdg9zdc1
0,r04wnjht
0,dxtkdhdd
0,b6ajrj1m
0,o6oti9hb
0,fpoztmcl
0,4bptq8hx
0,35b30x24
0,v9an24rg
0,xcfk4efo
0,4bncbqsb
0,t5bz4kmk
0,pc1s093k
0,auwm2qj0
0,1jhzvrl3
0,wow470k7
0,lk3im70b
0,d4h9016a
1,ej8fx52u
1,gioqkeda
1,adf5ttfd
1,b3vbaedz
1,myh73pe6
1,0p9o5lty
1,f89s8pgd
1,0xvfis28
1,o0e02chr
1,d0qr84xg
1,kfwbqp4p
1,mg02sml8
1,0jlsaypc
1,lw4mb9t3
1,lp7hd44l
1,ijdzinx8
1,e3t1f0rt
1,qbkkhfcb
1,pcs4jtmc
1,7hiss0j3
1,dmc8wjyl
1,hth8f5sn
1,i289urz8
1,ebx603bn
1,dq0xgavu
1,j58f1lwa
1,50slzxj0
1,jgvqqeg3
1,uwd1f2cl
1,q6kkefk4
1,jn8evem2
1,juz9jnfk
1,sdg9zdc1
1,r04wnjht
1,dxtkdhdd
1,b6ajrj1m
1,o6oti9hb
1,fpoztmcl
1,4bptq8hx
1,35b30x24
1,v9an24rg
1,xcfk4efo
1,4bncbqsb
1,t5bz4kmk
1,pc1s093k
1,auwm2qj0
1,1jhzvrl3
1,wow470k7
1,lk3im70b
1,d4h9016a
2,ej8fx52u
2,gioqkeda
2,adf5ttfd
2,b3vbaedz
2,myh73pe6
2,0p9o5lty
2,f89s8pgd
2,0xvfis28
2,o0e02chr
2,d0qr84xg
2,kfwbqp4p
2,mg02sml8
2,0jlsaypc
2,lw4mb9t3
2,lp7hd44l
2,ijdzinx8
2,e3t1f0rt
2,qbkkhfcb
2,pcs4jtmc
2,7hiss0j3
2,dmc8wjyl
2,hth8f5sn
2,i289urz8
2,ebx603bn
2,dq0xgavu
2,j58f1lwa
2,50slzxj0
2,jgvqqeg3
2,uwd1f2cl
2,q6kkefk4
2,jn8evem2
2,juz9jnfk
2,sdg9zdc1
2,r04wnjht
2,dxtkdhdd
2,b6ajrj1m
2,o6oti9hb
2,fpoztmcl
2,4bptq8hx
2,35b30x24
2,v9an24rg
2,xcfk4efo
2,4bncbqsb
2,t5bz4kmk
2,pc1s093k
2,auwm2qj0
2,1jhzvrl3
2,wow470k7
2,lk3im70b
2,d4h9016a
3,ej8fx52u
3,gioqkeda
3,adf5ttfd
3,b3vbaedz
3,myh73pe6
3,0p9o5lty
3,f89s8pgd
3,0xvfis28
3,o0e02chr
3,d0qr84xg
3,kfwbqp4p
3,mg02sml8
3,0jlsaypc
3,lw4mb9t3
3,lp7hd44l
3,ijdzinx8
3,e3t1f0rt
3,qbkkhfcb
3,pcs4jtmc
3,7hiss0j3
